City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Beni Suef,EG,2022-05-04 03:35:47,29.0731,31.0979,64.71,80,23,11.61
195,Maitum,PH,2022-05-04 03:35:48,6.0392,124.4986,84.69,73,93,4.27
196,Zambezi,ZM,2022-05-04 03:35:48,-13.5432,23.1047,56.59,87,98,4.72
197,Mackenzie,CA,2022-05-04 03:35:48,55.2999,-123.1698,44.82,81,75,9.22
198,Alyangula,AU,2022-05-04 03:35:49,-13.8483,136.4192,93.07,46,40,11.5
199,Svetlogorsk,BY,2022-05-04 03:35:49,52.6333,29.7333,39.7,69,36,9.98
200,Mayo,US,2022-05-04 03:35:50,38.8876,-76.5119,60.75,90,100,18.41
201,Santos Reyes Nopala,MX,2022-05-04 03:35:50,16.1092,-97.1561,76.37,72,71,1.45
202,Kodiak,US,2022-05-04 03:35:51,57.79,-152.4072,44.11,81,100,5.75
203,Vanavara,RU,2022-05-04 03:35:51,60.34,102.2797,34.14,78,100,15.26
204,San Rafael,AR,2022-05-04 03:35:52,-34.6177,-68.3301,57.24,30,6,7.87
205,Suriapet,IN,2022-05-04 03:35:52,17.15,79.6167,93.54,51,15,5.84
206,Carahue,CL,2022-05-04 03:35:52,-38.7,-73.1667,48.54,97,73,0.83
207,Tigzirt,DZ,2022-05-04 03:35:53,36.8886,4.1198,61.07,85,95,11.5
208,Tessalit,ML,2022-05-04 03:35:53,20.1986,1.0114,77.25,11,75,7.63
209,The Valley,AI,2022-05-04 03:35:54,18.217,-63.0578,78.66,79,3,16.37
210,Caborca,MX,2022-05-04 03:35:54,30.5838,-111.101,72.03,33,100,8.5
211,Prachuap Khiri Khan,TH,2022-05-04 03:35:55,12.2167,99.75,81.68,57,91,10.07
212,Krasnogorodsk,RU,2022-05-04 03:35:55,56.8357,28.2822,32.76,70,53,8.72
213,Xining,CN,2022-05-04 03:31:37,36.6167,101.7667,63.12,17,0,2.1
214,Suez,EG,2022-05-04 03:35:56,29.9737,32.5263,65.59,77,23,9.42
215,Saint-Francois,FR,2022-05-04 03:35:56,46.4154,3.9054,45.68,93,0,3.44
216,Linnich,DE,2022-05-04 03:35:57,50.9833,6.2667,47.89,86,0,1.99
217,Belawan,ID,2022-05-04 03:35:57,3.7755,98.6832,86.29,68,83,3.06
218,Doaba,PK,2022-05-04 03:35:58,33.4244,70.7364,79.88,35,59,2.57
219,Halifax,CA,2022-05-04 03:35:03,44.6453,-63.5724,40.68,88,8,1.14
220,Cerrito,CO,2022-05-04 03:35:58,6.8432,-72.694,52.72,87,51,5.99
221,Barrow,US,2022-05-04 03:35:59,71.2906,-156.7887,21.22,86,100,11.5
222,Kruisfontein,ZA,2022-05-04 03:35:59,-34.0033,24.7314,57.88,89,0,5.53
223,Cabedelo,BR,2022-05-04 03:35:59,-6.9811,-34.8339,77.67,84,19,12.08
224,Pangnirtung,CA,2022-05-04 03:36:00,66.1451,-65.7125,1.71,95,77,7.34
225,Sarankhola,BD,2022-05-04 03:36:00,22.3082,89.7897,92.16,52,27,5.68
226,Mocajuba,BR,2022-05-04 03:36:01,-2.5842,-49.5072,73.69,99,100,2.1
227,Dingle,PH,2022-05-04 03:36:01,10.9995,122.6711,88.16,60,100,11.68
228,Careiro Da Varzea,BR,2022-05-04 03:36:01,-3.2003,-59.8119,81.21,95,100,2.33
229,Moree,AU,2022-05-04 03:36:02,-29.4667,149.85,78.82,36,15,11.5
230,Salalah,OM,2022-05-04 03:32:09,17.0151,54.0924,80.69,78,0,4.61
231,Raymond,US,2022-05-04 03:36:03,43.9015,-70.4703,47.08,78,100,3.85
232,Kedrovyy,RU,2022-05-04 03:36:03,56.1667,91.8167,36.01,51,92,12.5
233,Yambio,SS,2022-05-04 03:36:03,4.5721,28.3955,66.6,97,87,2.04
234,Vaitape,PF,2022-05-04 03:36:04,-16.5167,-151.75,81.95,73,30,11.25
235,Quatre Cocos,MU,2022-05-04 03:36:05,-20.2078,57.7625,75.09,76,14,13.71
236,Syracuse,IT,2022-05-04 03:36:05,37.0881,15.2792,53.31,69,13,4.45
237,Petauke,ZM,2022-05-04 03:36:06,-14.2426,31.3253,56.12,96,85,5.44
238,Berlevag,NO,2022-05-04 03:36:06,70.8578,29.0864,24.8,71,100,19.24
239,Bandarbeyla,SO,2022-05-04 03:36:07,9.4942,50.8122,84.42,75,86,10.07
240,Bella Union,UY,2022-05-04 03:36:07,-30.2752,-57.6007,51.01,88,3,7.9
241,Beihai,CN,2022-05-04 03:36:07,21.4833,109.1,76.87,56,42,2.82
242,Bozuyuk,TR,2022-05-04 03:36:08,39.9078,30.0367,50.32,90,98,6.6
243,Severo-Kurilsk,RU,2022-05-04 03:36:08,50.6789,156.125,35.2,99,100,10.94
244,Victoria,HK,2022-05-04 03:33:10,22.2855,114.1577,82.96,56,28,10.0
245,Dicabisagan,PH,2022-05-04 03:36:09,17.0818,122.4157,87.69,61,74,9.55
246,Omboue,GA,2022-05-04 03:36:10,-1.5746,9.2618,77.38,92,82,5.57
247,Gushikawa,JP,2022-05-04 03:36:10,26.3544,127.8686,72.63,83,75,11.5
248,Massaguet,TD,2022-05-04 03:36:10,12.4755,15.4365,86.79,42,37,7.72
249,Clyde,US,2022-05-04 03:36:11,41.3042,-82.9752,53.29,94,97,9.19
250,Zanesville,US,2022-05-04 03:36:11,39.9404,-82.0132,64.99,93,100,3.44
251,Pevek,RU,2022-05-04 03:36:12,69.7008,170.3133,27.19,79,47,3.62
252,Abu Samrah,SY,2022-05-04 03:36:12,35.3029,37.1841,68.2,55,12,8.1
253,Lorengau,PG,2022-05-04 03:36:12,-2.0226,147.2712,83.39,76,72,2.39
254,Maldonado,UY,2022-05-04 03:36:13,-34.6667,-54.9167,51.22,88,0,3.38
255,Krasnoselkup,RU,2022-05-04 03:36:13,65.7,82.4667,30.6,97,100,25.81
256,Khani,GE,2022-05-04 03:36:14,41.9563,42.9566,47.77,76,92,2.8
257,Cayenne,GF,2022-05-04 03:36:14,4.9333,-52.3333,77.09,1,75,0.0
258,Shenjiamen,CN,2022-05-04 03:36:15,29.9576,122.298,63.36,68,100,9.84
259,Mount Gambier,AU,2022-05-04 03:36:15,-37.8333,140.7667,58.91,55,75,19.57
260,Samarai,PG,2022-05-04 03:36:15,-10.6167,150.6667,83.8,73,18,8.86
261,Nguru,NG,2022-05-04 03:36:16,12.8791,10.4526,85.84,18,38,7.96
262,Imbituba,BR,2022-05-04 03:34:02,-28.24,-48.6703,64.85,94,100,14.09
263,Kihurio,TZ,2022-05-04 03:36:16,-4.4667,38.0667,68.58,84,58,4.81
264,Garissa,KE,2022-05-04 03:36:17,-0.4536,39.6401,77.05,70,98,13.09
265,Henties Bay,NA,2022-05-04 03:36:17,-22.116,14.2845,70.83,49,0,3.87
266,Brewster,US,2022-05-04 03:32:35,41.3973,-73.6171,52.95,86,100,6.91
267,Port Hardy,CA,2022-05-04 03:36:18,50.6996,-127.4199,44.78,87,100,5.75
268,Faya,SA,2022-05-04 03:36:18,18.3851,42.4509,62.71,44,1,3.4
269,Hirara,JP,2022-05-04 03:36:19,24.8,125.2833,71.87,94,75,18.41
270,Catemaco,MX,2022-05-04 03:36:19,18.4167,-95.1167,77.38,61,43,2.21
271,Bogovarovo,RU,2022-05-04 03:36:20,58.9785,47.0246,41.7,79,76,7.96
272,Souillac,MU,2022-05-04 03:36:20,-20.5167,57.5167,76.66,82,18,11.74
273,Baturaja,ID,2022-05-04 03:36:20,-4.1333,104.1667,89.31,56,71,4.45
274,Port Lincoln,AU,2022-05-04 03:36:21,-34.7333,135.8667,59.63,43,74,17.87
275,Weiser,US,2022-05-04 03:36:21,44.251,-116.9693,54.86,72,0,6.69
276,Opunake,NZ,2022-05-04 03:36:22,-39.4556,173.8583,70.11,77,23,2.59
277,Lebu,CL,2022-05-04 03:36:22,-37.6167,-73.65,52.65,91,99,15.7
278,Kudahuvadhoo,MV,2022-05-04 03:36:23,2.6708,72.8944,79.66,84,100,14.23
279,Grand Gaube,MU,2022-05-04 03:36:23,-20.0064,57.6608,75.38,86,25,1.99
280,Makakilo City,US,2022-05-04 03:36:24,21.3469,-158.0858,80.92,63,0,18.41
281,Sioux Lookout,CA,2022-05-04 03:36:24,50.1001,-91.917,32.07,74,20,0.0
282,Vasvar,HU,2022-05-04 03:36:24,47.0493,16.7995,43.61,81,72,4.05
283,Edwardsville,US,2022-05-04 03:36:15,38.8114,-89.9532,53.58,91,100,8.01
284,College,US,2022-05-04 03:36:25,64.8569,-147.8028,55.38,37,75,5.75
285,Tateyama,JP,2022-05-04 03:36:25,34.9833,139.8667,66.04,62,3,20.45
286,Kavieng,PG,2022-05-04 03:36:26,-2.5744,150.7967,84.43,73,56,6.31
287,Road Town,VG,2022-05-04 03:35:38,18.4167,-64.6167,77.09,82,3,17.94
288,Pyaozerskiy,RU,2022-05-04 03:36:26,65.8333,31.1667,25.92,74,21,9.15
289,Nzega,RW,2022-05-04 03:36:27,-2.479,29.5564,55.04,95,87,2.66
290,Port-Cartier,CA,2022-05-04 03:36:27,50.0334,-66.8654,40.75,90,76,6.78
291,Bo Phloi,TH,2022-05-04 03:36:27,14.3236,99.5161,84.31,52,73,14.7
292,Labuhan,ID,2022-05-04 03:36:28,-6.8844,112.2051,86.47,69,100,3.56
293,Beyneu,KZ,2022-05-04 03:36:28,45.3167,55.2,59.47,39,6,8.41
294,Enid,US,2022-05-04 03:35:39,36.3956,-97.8784,54.01,83,0,8.05
