City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Cockburn Town,TC,77.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
262,Zhanaozen,KZ,61.07,clear sky,43.3,52.8,K.korabay 28A
263,Benemerito De Las Americas,MX,79.88,overcast clouds,16.5167,-90.6439,Hotel Fontera Sur
264,Buraydah,SA,85.19,overcast clouds,26.326,43.975,Mövenpick Qassim
265,Lianzhou,CN,78.55,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
266,Ovalle,CL,61.43,few clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
268,Kande,TG,78.49,overcast clouds,9.9578,1.0447,Hotel Altos de Tuqui
269,Garzon,CO,68.72,overcast clouds,2.1959,-75.6278,Hotel Encanto Real
270,Three Hills,CA,60.3,broken clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
272,Inyonga,TZ,60.21,few clouds,-6.7167,32.0667,Eden Rock Lodge
273,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
275,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
276,Harlingen,US,82.31,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
278,Soyo,AO,78.66,overcast clouds,-6.1349,12.3689,Hotel Mpampa
279,Faya,SA,66.85,clear sky,18.3851,42.4509,املاك خالد الشعشوع
280,Harnai,PK,78.42,clear sky,30.1005,67.9374,Shah g hotel and restaurant
283,Tanabe,JP,69.06,overcast clouds,33.7333,135.3667,美吉屋旅館
284,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
285,Elat,IL,64.15,clear sky,29.5581,34.9482,Club Hotel Eilat
286,Orocue,CO,80.92,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
287,Mayo,US,66.76,mist,38.8876,-76.5119,Resorts Resource Group International
288,Gamba,GA,74.07,light rain,-2.65,10.0,Resorts Resource Group International
289,Port-Gentil,GA,78.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
291,Tancheng,CN,78.64,clear sky,27.4375,115.4976,Fengshui Residence
292,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
293,Antalaha,MG,74.48,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
294,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
295,Santa Isabel Do Rio Negro,BR,72.99,light rain,-0.4139,-65.0192,Hotel GSA
296,Marsabit,KE,62.35,broken clouds,2.3284,37.9899,Chicho Hotel
297,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
298,Ouesso,CG,72.36,overcast clouds,1.6136,16.0517,ABENIE Hotel
299,Ambunti,PG,82.99,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
300,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
301,Salinopolis,BR,77.97,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
302,Constantine,DZ,69.21,broken clouds,36.365,6.6147,Grand Hotel Cirta
303,Sao Jose Da Coroa Grande,BR,77.92,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
305,Touros,BR,76.12,light rain,-5.1989,-35.4608,INN NEW HORIZON
306,Shenjiamen,CN,64.67,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
307,Pandan,PH,85.82,few clouds,14.0453,124.1694,Bonifacio Lodge
309,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
311,Muli,MV,83.23,light rain,2.9167,73.5667,Medhufushi Island Resort
313,Prieska,ZA,63.41,clear sky,-29.6641,22.7474,Avenue GuestHouse
314,Dakar,SN,70.68,clear sky,14.6937,-17.4441,Novotel Dakar
322,Martapura,ID,82.49,clear sky,-3.4167,114.85,Montana Hotel Syariah
323,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
324,Maiduguri,NG,87.12,broken clouds,11.8464,13.1603,Kagel Mari Police Station
326,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
328,Bundaberg,AU,82.22,scattered clouds,-24.85,152.35,Takalvan Motel
329,Bandundu,CD,73.49,overcast clouds,-3.3167,17.3667,Coja Color
333,Mogadishu,SO,80.4,overcast clouds,2.0371,45.3438,Hotel Juba
334,Hammonton,US,61.83,broken clouds,39.6365,-74.8024,"Red Carpet Inn & Suites Hammonton, NJ"
335,Nanchong,CN,78.15,clear sky,30.7951,106.0847,Marine Una Century Hotel
336,Bida,NG,80.73,overcast clouds,9.0833,6.0167,Royal Suite
337,Fare,PF,82.02,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
342,Itarema,BR,77.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
343,Grajau,BR,73.2,overcast clouds,-5.8194,-46.1386,Hotel Confiança
344,Jaque,PA,79.48,light rain,7.5175,-78.1703,Aventuras Jaque S.A
346,Souillac,MU,75.83,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
348,The Valley,AI,78.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
350,Izazi,TZ,64.63,few clouds,-7.2,35.7333,CeBlue Villas & Beach Resort
351,Portel,BR,74.77,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
352,Washington,US,68.05,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
354,Dingle,PH,87.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
357,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
358,Karatau,KZ,61.86,overcast clouds,43.1667,70.4667,Baza Zika
362,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
363,Sola,VU,81.86,few clouds,-13.8833,167.55,Leumerus Bungalows
