City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Mogadishu,SO,2.0371,45.3438,80.4,79,92,13.27,overcast clouds
334,Hammonton,US,39.6365,-74.8024,61.83,93,55,3.74,broken clouds
335,Nanchong,CN,30.7951,106.0847,78.15,45,0,3.94,clear sky
336,Bida,NG,9.0833,6.0167,80.73,70,100,4.16,overcast clouds
337,Fare,PF,-16.7,-151.0167,82.02,74,21,10.47,few clouds
338,Chokurdakh,RU,70.6333,147.9167,22.93,82,100,4.83,overcast clouds
339,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.56,94,61,6.71,broken clouds
340,Colleferro,IT,41.7262,13.0036,57.38,89,70,3.51,broken clouds
341,Nesna,NO,66.1967,13.0213,41.67,89,100,17.54,light rain
342,Itarema,BR,-2.9248,-39.9167,77.05,88,100,9.17,overcast clouds
343,Grajau,BR,-5.8194,-46.1386,73.2,95,99,2.71,overcast clouds
344,Jaque,PA,7.5175,-78.1703,79.48,88,100,4.65,light rain
345,Hastings,GB,50.8552,0.5729,51.33,81,2,8.68,clear sky
346,Souillac,MU,-20.5167,57.5167,75.83,83,72,18.61,light rain
347,Rudnichnyy,RU,59.617,52.4703,31.28,90,61,7.07,broken clouds
348,The Valley,AI,18.217,-63.0578,78.82,75,4,19.42,clear sky
349,Ardesen,TR,41.1911,40.9875,53.42,94,100,6.67,moderate rain
350,Izazi,TZ,-7.2,35.7333,64.63,79,22,2.35,few clouds
351,Portel,BR,-1.9356,-50.8211,74.77,96,100,2.35,overcast clouds
352,Washington,US,47.5001,-120.5015,68.05,51,85,2.24,overcast clouds
353,Ostrovnoy,RU,68.0531,39.5131,18.81,87,76,14.79,broken clouds
354,Dingle,PH,10.9995,122.6711,87.19,64,100,12.77,overcast clouds
355,Stiubieni,RO,47.9667,26.7833,51.67,64,99,6.38,overcast clouds
356,Warrnambool,AU,-38.3833,142.4833,55.81,56,84,5.32,broken clouds
357,Ambon,ID,-3.6954,128.1814,89.74,58,20,4.61,few clouds
358,Karatau,KZ,43.1667,70.4667,61.86,71,100,1.14,overcast clouds
359,Jarvakandi,EE,58.7789,24.8258,35.02,66,100,4.68,overcast clouds
360,Shumskiy,RU,54.8318,99.1328,43.86,39,0,3.89,clear sky
361,Mlowo,TZ,-9.0,32.9833,53.26,96,21,2.86,few clouds
362,Port Hedland,AU,-20.3167,118.5667,78.85,34,3,23.02,clear sky
363,Sola,VU,-13.8833,167.55,81.86,70,20,3.85,few clouds
364,Smithers,CA,54.7804,-127.1743,46.72,61,100,9.22,overcast clouds
365,Jieshi,CN,22.8134,115.8257,80.94,69,100,9.55,overcast clouds
366,Verkhoturye,RU,58.8627,60.8054,40.82,81,49,2.3,scattered clouds
367,Buala,SB,-8.145,159.5921,85.84,66,33,3.91,scattered clouds
368,Ranghulu,CN,46.65,124.8667,66.58,40,100,10.02,overcast clouds
369,Tefe,BR,-3.3542,-64.7114,72.66,98,93,3.67,overcast clouds
370,Jawhar,SO,2.7809,45.5005,76.86,83,77,8.75,broken clouds
371,Nikolsk,RU,53.7189,46.0712,35.89,91,57,11.23,broken clouds
372,Hutchinson,US,38.0608,-97.9298,51.73,98,100,6.91,mist
373,Derzhavinsk,KZ,51.1,66.3167,53.06,55,93,8.28,overcast clouds
374,Vila Velha,BR,-20.3297,-40.2925,79.95,84,13,10.69,few clouds
375,Te Anau,NZ,-45.4167,167.7167,62.89,65,43,4.97,scattered clouds
376,Zunyi,CN,27.6867,106.9072,69.39,60,100,4.34,overcast clouds
377,Yumen,CN,40.2833,97.2,72.03,26,100,17.92,overcast clouds
378,Shitanjing,CN,39.2342,106.3439,83.01,6,96,10.54,overcast clouds
379,Aller,ES,43.1187,-5.5839,43.47,94,69,0.83,broken clouds
380,Boa Vista,BR,2.8197,-60.6733,76.98,88,40,2.3,scattered clouds
381,Marathon,US,44.9,-89.7668,54.93,45,0,8.05,clear sky
382,Vardo,NO,70.3705,31.1107,27.7,65,88,9.08,overcast clouds
383,Hualmay,PE,-11.0964,-77.6139,64.78,87,5,9.01,clear sky
384,Poum,NC,-20.2333,164.0167,78.57,78,9,7.38,clear sky
385,Kiama,AU,-34.6833,150.8667,70.38,75,28,1.99,scattered clouds
386,Changji,CN,44.0167,87.3167,75.99,35,0,4.47,clear sky
387,Huarmey,PE,-10.0681,-78.1522,66.2,85,82,7.25,broken clouds
388,Daulatpur,PK,26.5015,67.9706,90.43,29,0,5.01,clear sky
389,Talcahuano,CL,-36.7167,-73.1167,53.28,100,54,4.61,mist
390,Ferkessedougou,CI,9.6,-5.2,78.13,71,98,6.15,overcast clouds
391,Miri,MY,4.4148,114.0089,85.96,65,98,1.99,overcast clouds
392,Bergerac,FR,44.8333,0.5,52.77,93,0,4.61,clear sky
393,Shibetsu,JP,43.659,145.132,52.5,58,40,6.91,scattered clouds
394,Cabinda,AO,-5.55,12.2,78.66,91,100,4.25,overcast clouds
395,Tolentino,IT,43.2126,13.2901,57.81,73,98,5.06,overcast clouds
396,Saquena,PE,-4.6667,-73.5167,73.8,98,100,2.08,overcast clouds
397,Fengrun,CN,39.8333,118.1167,82.38,29,59,15.57,broken clouds
398,Chegem,RU,43.2833,43.1333,32.38,88,98,3.24,light snow
399,Portland,US,45.5234,-122.6762,70.39,57,87,5.01,overcast clouds
400,Lodja,CD,-3.4833,23.4333,69.78,88,74,1.92,broken clouds
401,Torbat-E Jam,IR,35.244,60.6225,64.2,64,4,0.96,clear sky
402,Chiang Khong,TH,20.2613,100.4046,81.03,66,87,1.3,overcast clouds
403,Almetyevsk,RU,54.9044,52.3154,45.63,93,100,7.9,overcast clouds
404,Avera,US,33.194,-82.5271,75.54,80,53,6.53,broken clouds
405,Fairbanks,US,64.8378,-147.7164,55.98,35,75,10.36,broken clouds
406,Cherskiy,RU,68.75,161.3,33.17,99,100,4.54,overcast clouds
407,Santa Cruz,BO,-17.8,-63.1667,58.55,50,8,5.1,clear sky
408,Sayyan,YE,15.1718,44.3244,62.02,37,1,1.5,clear sky
409,Klaksvik,FO,62.2266,-6.589,43.72,72,67,13.73,broken clouds
410,Sestri Levante,IT,44.2732,9.3968,60.71,76,100,4.0,overcast clouds
411,Great Bend,US,38.3645,-98.7648,49.03,98,100,13.8,mist
